"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,78821,"47904","IN","Lafayette-West Lafayette","Tippecanoe County","Lafayette",6445,94000,0.0140237324703344,0.0514541387024608,0.10718492343934,0.05683616087368,0.00684666010347668,"2019-09","2019-Q3",94000,0,"2019-09"
2019-09-30,75291,"39426","MS","Picayune","Pearl River County","Carriere",6446,176900,0.014916810097533,0.0448907265209687,0.0523497917906008,0.0277142570834055,0.00952523372284109,"2019-09","2019-Q3",176900,0,"2019-09"
2019-09-30,60367,"06515","CT","New Haven-Milford","New Haven County","New Haven",6447,206700,0.00145348837209302,0.00291120815138282,0.0298953662182362,0.0239849177000144,0.00225311869348421,"2007-02","2007-Q1",250400,-0.174520766773163,"2004-08"
2019-09-30,58986,"02911","RI","Providence-Warwick","Providence County","North Providence",6448,235200,-0.000849617672047579,-0.00169779286926995,0.0352112676056338,0.0729521699862854,0.0254685868856779,"2005-11","2005-Q4",258300,-0.0894308943089431,"2004-09"
2019-09-30,62180,"11692","NY","New York-Newark-Jersey City","Queens County","New York",6449,378800,-0.00131821776957553,0.0136473106770136,0.0721766204358902,0.0684844675700051,0.0269311695723695,"2019-08","2019-Q3",379300,-0.00131821776957553,"2019-08"
2019-09-30,74399,"37642","TN","Kingsport-Bristol-Bristol","Hawkins County","Church Hill",6450,128300,-0.000778816199376947,0.00234375,-0.0302343159486017,0.0481845168450021,0.0266796979048654,"2018-12","2018-Q4",134700,-0.0475129918337045,"2018-07"
2019-09-30,60369,"06517","CT","New Haven-Milford","New Haven County","Hamden",6451,219400,0.000455996352029184,-0.00903342366757001,0.0467557251908397,-0.00109031696770279,-0.00513886688094012,"2006-07","2006-Q3",283000,-0.224734982332155,"2004-01"
2019-09-30,76726,"43528","OH","Toledo","Lucas County","Holland",6452,203300,0.002465483234714,0.00544015825914936,0.0638409209837781,0.0442818739791258,0.0284297145894963,"2019-09","2019-Q3",203300,0,"2019-09"
2019-09-30,60870,"07928","NJ","New York-Newark-Jersey City","Morris County","Chatham Township",6453,774900,-0.00907928388746803,-0.0417954742178805,-0.0993723849372385,0.0125370556217987,0.0129860812585547,"2018-08","2018-Q3",861800,-0.100835460663727,"2016-10"
2019-09-30,77983,"46135","IN","Indianapolis-Carmel-Anderson","Putnam County","Greencastle",6454,139000,0.0036101083032491,0.0123816460305899,0.0443275732531931,0.0561019062316006,0.0294331422336966,"2019-09","2019-Q3",139000,0,"2019-09"
2019-09-30,72719,"33616","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",6455,225900,0.000886132033673017,-0.00615926088869336,-0.00659630606860158,0.119968069804491,0.0592811669587558,"2019-02","2019-Q1",234600,-0.0370843989769821,"2018-03"
2019-09-30,90721,"75143","TX","Athens","Henderson County","Tool",6456,158700,0.00443037974683544,-0.00188679245283019,0.0399737876802097,0.104155119761018,0.0370510640496657,"2019-04","2019-Q2",160700,-0.0124455507156192,"2018-12"
2019-09-30,71249,"30635","GA",,"Elbert County","Elberton",6457,101000,0.0130391173520562,0.0423116615067079,0.145124716553288,0.0709284193027819,0.0228186379361794,"2019-09","2019-Q3",101000,0,"2019-09"
2019-09-30,99052,"97051","OR","Portland-Vancouver-Hillsboro","Columbia County","Saint Helens",6458,283100,0.0110714285714286,0.0366166239472721,0.0520252694165738,0.0923798895280221,0.0435188435234204,"2019-09","2019-Q3",283100,0,"2019-09"
2019-09-30,96271,"91011","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","La Canada Flintridge",6459,1739200,0.00172791153092962,0.00589936379410064,-0.00355219433940644,0.0596140507111795,0.0477855038716704,"2018-05","2018-Q2",1784400,-0.0253306433535082,"2018-03"
2019-09-30,85877,"63034","MO","St. Louis","Saint Louis County","Spanish Lake",6460,176500,-0.00169683257918552,-0.00507328072153326,-0.00282485875706215,0.0440179410802011,0.00798880915286282,"2007-04","2007-Q2",197200,-0.104969574036511,"2004-06"
2019-09-30,72922,"33935","FL","Clewiston","Hendry County","Labelle",6461,129300,0.00388198757763975,0.0286396181384248,0.0668316831683168,0.0720759399394613,0.02260473332631,"2006-08","2006-Q3",185900,-0.304464766003228,"2005-07"
2019-09-30,82766,"56304","MN","St. Cloud","Stearns County","Saint Cloud",6462,168800,0.00237529691211401,0.016255267910897,0.0649842271293375,0.0609051571985737,0.0279744753780315,"2019-09","2019-Q3",168800,0,"2019-09"
2019-09-30,97208,"93280","CA","Bakersfield","Kern County","Wasco",6463,195200,0.00514933058702369,0.014025974025974,0.0784530386740332,0.0657081665231847,0.0470120348027825,"2007-01","2007-Q1",226900,-0.139709122961657,"2006-02"
